,timestamp,MagneticRotationSensor,Device
0,1746468275188,49.09048223168153,Background
1,1746468275247,49.14705960706663,Background
2,1746468275306,49.417634017639294,Background
3,1746468275368,49.47217368655088,Background
4,1746468275426,49.45708904391637,Background
5,1746468275486,49.35270784690035,Background
6,1746468275547,49.3855626034735,Background
7,1746468275607,49.42320905032464,Background
8,1746468275666,49.41064289744544,Background
9,1746468275726,49.48263088451854,Background
10,1746468275788,49.37838640451638,Background
11,1746468275847,49.28161252747789,Background
12,1746468275906,49.222093849163045,Background
13,1746468275966,49.27969442741427,Background
14,1746468276027,49.33279814683248,Background
15,1746468276086,49.33565156454196,Background
16,1746468276147,49.40326300057089,Background
17,1746468276206,49.39324039091124,Background
18,1746468276268,49.354193460066206,Background
19,1746468276326,49.49218905984088,Background
20,1746468276386,49.56415913071776,Background
21,1746468276448,49.70833411695041,Background
22,1746468276506,49.57914535465528,Background
23,1746468276566,49.57939909982495,Background
24,1746468276626,49.48133906898129,Background
25,1746468276687,49.56462429660599,Background
26,1746468276748,49.57266369528718,Background
27,1746468276806,49.456679599470846,Background
28,1746468276867,49.44690846324698,Background
29,1746468276926,49.38009213580935,Background
30,1746468276986,49.441424692425926,Background
31,1746468277048,49.48724623363564,Background
32,1746468277107,49.66542356014956,Background
33,1746468277166,49.69444979751984,Background
34,1746468277227,49.7435243602169,Background
35,1746468277286,49.79371298573388,Background
36,1746468277347,49.87489551133493,Background
37,1746468277406,49.71978929999079,Background
38,1746468277466,49.71477310480175,Background
39,1746468277527,49.63536125923615,Background
40,1746468277586,49.50428064144992,Background
41,1746468277647,49.435391594757206,Background
42,1746468277708,49.450957510070126,Background
43,1746468277767,49.30995991875054,Background
44,1746468277827,49.20473016153954,Background
45,1746468277886,49.2590960072126,Background
46,1746468277946,49.340637346248464,Background
47,1746468278008,49.50311497987461,Background
48,1746468278066,49.53096371015611,Background
49,1746468278126,49.45391371936002,Background
50,1746468278187,49.458651911821725,Background
51,1746468278247,49.69814089170477,Background
52,1746468278308,49.769032433482245,Background
53,1746468278366,49.86477333285733,Background
54,1746468278427,49.86957071451658,Background
55,1746468278487,49.80635411733554,Background
56,1746468278546,49.7964709789858,Background
57,1746468278608,49.86189330847936,Background
58,1746468278667,49.756862357470375,Background
59,1746468278726,49.75483591583908,Background
60,1746468278786,49.66057196669448,Background
61,1746468278847,49.6346662780611,Background
62,1746468278906,49.47985898122879,Background
63,1746468278967,49.42177751409122,Background
64,1746468279026,49.38223602733338,Background
65,1746468279086,49.40208500190277,Background
66,1746468279147,49.53011057843384,Background
67,1746468279206,49.39055283922232,Background
68,1746468279267,49.34935401452771,Background
69,1746468279326,49.24283164451415,Background
70,1746468279386,49.44594333108858,Background
71,1746468279447,49.49213484046986,Background
72,1746468279507,49.49897139259011,Background
73,1746468279566,49.28001863656296,Background
74,1746468279626,49.19829964349032,Background
75,1746468279687,49.22512252621881,Background
76,1746468279747,49.20798103213539,Background
77,1746468279806,49.27186874014721,Background
78,1746468279867,49.15806004787554,Background
79,1746468279927,49.21251279622088,Background
80,1746468279986,49.13478358389455,Background
81,1746468280046,49.1565566388393,Background
82,1746468280106,49.28572968610678,Background
83,1746468280169,49.30931176623311,Background
84,1746468280227,49.50891282368452,Background
85,1746468280286,49.47735735599467,Background
86,1746468280347,49.47005440855601,Background
87,1746468280407,49.42718241269712,Background
88,1746468280466,49.51301776860364,Background
89,1746468280527,49.5353653601986,Background
90,1746468280588,49.45875659967463,Background
91,1746468280646,49.36972160419174,Background
92,1746468280706,49.22299146131369,Background
93,1746468280766,49.26176865971208,Background
94,1746468280828,49.27645915097676,Background
95,1746468280886,49.21355354679213,Background
96,1746468280946,49.1194864651194,Background
97,1746468281008,49.19469776876278,Background
98,1746468281066,49.03662096033531,Background
99,1746468281127,48.95755847338695,Background
100,1746468281186,48.882433290448,Background
101,1746468281247,48.809607434539046,Background
102,1746468281306,48.79013163051987,Background
103,1746468281366,48.73995420273525,Background
104,1746468281428,48.91902538622676,Background
105,1746468281486,48.96812712769241,Background
106,1746468281546,49.13308636744753,Background
107,1746468281606,49.26279413134984,Background
108,1746468281667,49.3070758805537,Background
109,1746468281727,49.396008827708165,Background
110,1746468281786,49.35032466086672,Background
111,1746468281848,49.41718325762516,Background
112,1746468281907,49.18298132987093,Background
113,1746468281966,49.10457569784112,Background
114,1746468282026,49.061856506428434,Background
115,1746468282087,48.99006459046476,Background
116,1746468282146,49.06854014324463,Background
117,1746468282207,49.06257754967265,Background
118,1746468282266,49.03357841017748,Background
119,1746468282329,48.90407146876488,Background
120,1746468282388,48.928883119068566,Background
121,1746468282446,48.89228451206481,Background
122,1746468282506,48.79713424960041,Background
123,1746468282567,48.77449824102245,Background
124,1746468282626,48.77546680758402,Background
125,1746468282686,48.76959361703695,Background
126,1746468282748,48.7755909565416,Background
127,1746468282807,48.75804110563451,Background
128,1746468282866,48.930589450183554,Background
129,1746468282927,49.05712973470104,Background
130,1746468282988,49.15637437916264,Background
131,1746468283047,49.28021743236939,Background
132,1746468283106,49.288100584714016,Background
133,1746468283166,49.32436265996494,Background
134,1746468283227,49.303591955105865,Background
135,1746468283286,49.43222223771031,Background
136,1746468283347,49.3446070146395,Background
137,1746468283408,49.305232671299535,Background
138,1746468283466,49.29469880206285,Background
139,1746468283526,49.34930911696544,Background
140,1746468283586,49.32024633092868,Background
141,1746468283647,49.39792412487039,Background
142,1746468283706,49.47592611692381,Background
143,1746468283766,49.50996007127564,Background
144,1746468283826,49.51126745248107,Background
145,1746468283886,49.39858232060962,Background
146,1746468283947,49.39136311448678,Background
